ticket_id,created_date,resolved_date,first_response_date,category,priority,status,department_id,agent_id,reopened_flag,resolution_notes
1,2024-04-09 12:22:38,2024-04-09 13:57:28,2024-04-09 14:02:03,Software,Critical,Resolved,4,3,0,Quasi facilis iure.
2,2025-11-08 11:18:05,2025-11-10 12:20:04,2025-11-08 14:22:30,Access,Low,Resolved,3,12,0,Deleniti odit sint ipsa.
3,2025-10-12 11:46:15,2025-10-15 23:09:16,2025-10-12 13:12:30,Hardware,Medium,Closed,8,18,0,Eum reiciendis repellat fugiat voluptas a.
4,2025-02-14 11:13:58,2025-02-15 04:52:18,2025-02-14 12:04:46,Access,Medium,Closed,5,15,0,Aut assumenda tempora reiciendis dignissimos distinctio.
5,2025-08-20 13:14:08,2025-08-20 16:52:28,2025-08-20 18:01:16,Network,High,Resolved,1,7,0,Voluptatum eaque at dolores.
6,2024-09-14 19:55:00,2024-09-15 02:40:20,2024-09-14 20:48:44,Access,High,Resolved,8,11,0,Voluptatum adipisci vitae officia maxime nulla odit.
7,2025-05-27 16:32:58,2025-05-28 05:46:07,2025-05-28 02:44:40,Hardware,Medium,Resolved,7,7,1,Officiis neque asperiores necessitatibus.
8,2024-11-27 13:07:59,2024-11-28 00:34:07,2024-11-27 19:59:36,Software,Low,Resolved,7,1,0,Rerum sequi voluptate facere eligendi magnam.
9,2026-02-23 10:42:30,2026-02-23 17:44:04,2026-02-23 13:31:30,Other,High,Resolved,4,7,0,Laudantium aliquam omnis pariatur.
10,2025-01-17 13:33:28,2025-01-18 16:58:54,2025-01-17 23:20:14,Software,Medium,Resolved,5,1,0,Ratione aspernatur quisquam dolore atque voluptatem.
11,2025-06-10 11:42:31,2025-06-11 23:38:11,2025-06-10 12:39:55,Software,High,Resolved,8,16,0,Laboriosam ab laborum animi corporis.
12,2025-02-24 13:46:03,2025-02-24 19:09:20,2025-02-24 14:46:34,Other,High,Resolved,4,4,0,Ut voluptatibus vitae iure libero libero.
13,2024-03-18 13:55:54,2024-03-18 18:23:52,2024-03-18 14:42:38,Network,Critical,Resolved,8,3,0,Nesciunt cumque animi excepturi.
14,2025-01-23 08:24:16,2025-01-23 09:36:07,2025-01-23 09:22:59,Access,High,Resolved,5,18,0,Earum voluptas aspernatur facilis nostrum.
15,2024-03-03 16:03:03,2024-03-03 19:38:59,2024-03-03 21:51:47,Network,Medium,Resolved,8,7,0,Dolor voluptatem in blanditiis maxime.
16,2025-08-06 11:38:02,2025-08-06 19:41:06,2025-08-06 21:28:37,Network,Medium,Resolved,5,9,0,Illum quisquam tempora dignissimos iure quibusdam reprehenderit.
17,2024-11-19 18:59:04,,2024-11-19 20:13:59,Hardware,Medium,In Progress,4,7,0,
18,2024-09-07 12:10:28,2024-09-08 09:43:43,2024-09-07 22:47:03,Access,Medium,Resolved,5,17,0,Itaque ratione aliquid sequi.
19,2024-04-28 17:47:35,,2024-04-28 18:23:41,Hardware,High,In Progress,1,9,0,
20,2025-10-11 13:17:02,2025-10-22 12:27:20,2025-10-11 16:49:15,Hardware,Low,Resolved,5,15,0,Id id nostrum eum dolorem occaecati animi.
21,2025-07-12 08:23:37,2025-07-14 00:36:35,2025-07-12 09:27:57,Network,Medium,Resolved,1,2,0,Odit ab placeat minima ullam sapiente hic.
22,2025-02-20 19:47:09,2025-02-21 05:10:07,2025-02-21 00:47:05,Software,High,Resolved,6,3,0,Quidem ipsa earum numquam.
23,2024-09-11 12:50:44,,2024-09-11 18:53:49,Hardware,Low,Open,8,3,0,
24,2025-11-06 11:21:17,2025-11-17 09:14:15,2025-11-06 17:33:14,Access,Low,Resolved,2,13,0,Libero exercitationem vero sunt.
25,2025-08-17 18:16:02,,2025-08-17 19:02:14,Hardware,Medium,In Progress,6,20,0,
26,2024-02-15 15:00:33,2024-02-16 08:37:00,2024-02-15 16:15:25,Other,Medium,Resolved,6,7,0,Iste consequuntur explicabo porro at quis incidunt.
27,2026-01-07 17:32:19,2026-01-08 01:01:00,2026-01-07 20:56:51,Network,Medium,Resolved,5,7,0,Debitis id ullam necessitatibus.
28,2025-07-15 17:19:18,2025-07-18 01:14:18,2025-07-15 19:29:21,Software,Low,Resolved,5,15,0,Ipsa error tempore tempora.
29,2024-03-27 12:42:40,2024-03-28 03:25:15,2024-03-27 13:13:46,Network,High,Resolved,8,3,0,Rerum sunt dignissimos a dolore odit libero.
30,2024-03-15 13:56:40,2024-03-15 16:13:53,2024-03-15 14:21:43,Network,Medium,Closed,3,5,0,Debitis sequi aliquam tenetur itaque.
31,2024-06-29 16:44:33,2024-06-30 14:31:23,2024-06-29 19:16:43,Software,Medium,Reopened,8,1,1,Modi nihil inventore labore officia beatae.
32,2025-03-29 14:46:57,,2025-03-29 17:35:17,Access,Medium,Open,8,16,0,
33,2025-06-17 13:15:17,2025-06-19 05:36:09,2025-06-17 18:48:03,Software,Medium,Resolved,2,18,0,Saepe molestias similique quisquam aliquid dolorem.
34,2024-12-04 14:26:03,2024-12-06 16:32:19,2024-12-04 17:17:02,Software,Medium,Resolved,8,1,0,Reprehenderit odio recusandae nisi sed repellendus quia.
35,2025-03-05 14:47:34,2025-03-06 02:43:39,2025-03-05 17:21:57,Access,Medium,Resolved,2,13,0,Libero ullam mollitia voluptates.
36,2025-09-29 14:58:25,2025-09-29 19:36:58,2025-09-29 21:21:02,Network,Medium,Resolved,1,15,0,Dolor aut ab reprehenderit incidunt magni.
37,2024-10-11 16:53:26,2024-10-12 06:35:20,2024-10-11 17:12:01,Software,High,Reopened,1,12,1,Consequuntur veniam perspiciatis accusamus.
38,2024-09-10 11:01:39,2024-09-10 18:22:51,2024-09-10 11:38:14,Hardware,High,Resolved,5,7,0,Assumenda aperiam repellendus perferendis eius mollitia expedita.
39,2024-06-16 19:06:37,2024-06-17 02:27:51,2024-06-16 20:08:41,Hardware,Medium,Resolved,5,13,0,Impedit a deserunt adipisci voluptates.
40,2024-11-04 17:38:51,2024-11-11 14:28:04,2024-11-04 18:53:19,Hardware,Low,Resolved,6,14,0,Animi maiores consequatur error provident.
41,2025-03-19 18:40:57,2025-03-20 13:55:38,2025-03-19 22:01:30,Access,Medium,Closed,6,9,0,Quo ipsa excepturi recusandae repudiandae.
42,2024-11-26 17:53:59,2024-11-28 06:56:16,2024-11-26 20:51:09,Hardware,Low,Resolved,2,20,0,Quam fuga molestias doloribus.
43,2024-09-21 12:56:38,2024-09-21 16:58:52,2024-09-21 13:47:39,Access,High,Resolved,1,3,0,Molestias harum nulla quae nemo ipsa.
44,2025-04-03 16:05:18,2025-04-04 01:39:54,2025-04-03 17:35:18,Software,Medium,Reopened,2,16,1,Id saepe aspernatur expedita placeat.
45,2025-04-09 12:16:14,2025-04-09 18:14:23,2025-04-09 13:39:08,Hardware,High,Resolved,1,6,0,Minima ducimus tempore dolor blanditiis exercitationem.
46,2024-04-12 17:18:14,2024-04-16 07:59:27,2024-04-12 19:28:28,Software,Medium,Resolved,6,1,0,Officiis ratione iusto vero sed.
47,2024-01-13 14:30:30,2024-01-13 22:42:36,2024-01-13 16:57:23,Software,High,Resolved,1,16,0,Exercitationem adipisci porro suscipit aliquid quaerat.
48,2025-07-30 18:05:15,,2025-07-30 21:19:18,Hardware,Low,In Progress,5,8,0,
49,2025-08-25 19:19:36,2025-08-27 03:28:01,2025-08-25 20:34:24,Network,Medium,Resolved,6,7,0,Consequuntur harum minus neque est.
50,2025-02-22 13:38:30,2025-02-23 11:05:18,2025-02-22 16:33:45,Software,Medium,Resolved,6,8,0,Labore cumque soluta id minima.
51,2025-07-11 11:09:58,2025-07-13 00:08:43,2025-07-11 12:16:36,Software,High,Resolved,1,20,0,Enim sed qui aperiam modi.
52,2024-10-05 14:31:28,2024-10-05 14:59:41,2024-10-05 16:03:33,Hardware,Critical,Resolved,4,9,0,Tenetur nisi autem assumenda fuga esse.
53,2024-10-02 14:48:48,2024-10-03 01:32:37,2024-10-02 17:49:08,Hardware,Medium,Reopened,4,19,1,Quos quisquam itaque.
54,2024-11-24 15:54:10,2024-11-27 23:47:57,2024-11-24 20:58:19,Software,Medium,Resolved,2,18,0,Saepe ipsum voluptatibus exercitationem ratione optio culpa.
